size: 	 64 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.007084 	 seconds
size: 	 256 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.008017 	 seconds
size: 	 400 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.009129 	 seconds
size: 	 576 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.011217 	 seconds
size: 	 1600 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.019642 	 seconds
size: 	 3136 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.031726 	 seconds
size: 	 6400 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.058475 	 seconds
size: 	 12544 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.108625 	 seconds
size: 	 25600 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.237998 	 seconds
size: 	 50176 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.458188 	 seconds
size: 	 102400 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 0.924915 	 seconds
size: 	 207936 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 2.186859 	 seconds
size: 	 409600 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 3.800220 	 seconds
size: 	 817216 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 8.212241 	 seconds
size: 	 1638400 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 26.712408 	 seconds
size: 	 3268864 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 41.048716 	 seconds
size: 	 6553600 	 iterations: 	 2000 	 threads: 	 2 	 time: 	 767.593108 	 seconds
