site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Alcock Island,ALCO,48.1,-61.126999999999995,-64.23999999999958,chinstrap penguin,9,2,2011,2010,1100,1,nests,ground,<strong>Gonz&#225;lez-Zevallos  D.  M. M. Santos  E. F. Rombol&#225;  M. A. Ju&#225;res  and N. R. Coria  </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula. Polar Research 32:1-7.
Alcock Island,ALCO,48.1,-61.126999999999995,-64.23999999999958,chinstrap penguin,10,12,2010,2010,1016,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,28,11,1995,1995,8,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,2,12,1995,1995,6,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,13,12,1995,1995,6,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,16,12,1995,1995,6,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,25,11,1996,1996,9,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,23,11,1997,1997,6,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,4,12,1997,1997,8,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,16,1,2006,2005,111,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,6,2,2006,2005,121,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,19,11,2006,2006,128,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,8,1,2008,2007,123,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,3,1,2009,2008,140,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,29,1,2009,2008,165,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,17,11,2008,2008,192,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,30,11,2008,2008,163,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,8,12,2008,2008,153,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,5,2,2010,2009,228,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,23,12,2009,2009,165,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,22,1,2012,2011,158,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,1,2,2012,2011,178,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,4,12,2011,2011,189,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,8,1,2013,2012,188,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,11,1,2013,2012,159,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,22,1,2013,2012,183,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,12,12,2012,2012,162,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,3,1,2014,2013,150,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,26,1,2014,2013,129,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,12,12,2013,2013,197,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,23,12,2013,2013,164,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,1,2,2015,2014,211,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,6,12,2014,2014,126,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,14,12,2014,2014,204,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,23,12,2014,2014,193,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,14,1,2016,2015,191,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,26,1,2016,2015,171,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,23,2,2016,2015,189,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,14,12,2015,2015,204,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,13,12,2016,2016,173,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,23,12,2016,2016,170,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,7,1,2018,2017,174,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,20,1,2018,2017,181,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,26,1,2018,2017,186,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,16,2,2018,2017,209,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,14,1,2019,2018,165,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Brown Station,ALMI,48.1,-62.870277999999985,-64.89555599999967,gentoo penguin,7,12,2018,2018,174,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Amanda Bay,AMAN,58.4.2,76.82999999999998,-69.26999999999991,emperor penguin,,,1961,1961,1500,3,adults,,<strong>Wilson  G.  </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge  volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
